symbol,gics8,hier.text_008
GNC,25504040,3
GNCA,35201010,0
GNCMA,50101020,4
GNE,55101010,2
GNMK,35101010,0
GNRC,20104010,3
GNTX,25101010,3
GNVC,35201010,0
GNW,40301020,2
GOGO,45101010,6
GOOD,60101010,0
GOOGL,45101010,6
GORO,15104030,0
GOV,60101040,2
GPC,25501010,3
GPI,25504050,1
GPIC,25301010,1
GPK,15103020,2
GPN,45102020,4
GPOR,10102020,0
GPRE,10102030,6
GPRO,25201010,1
GPS,25504010,3
GPT,60101010,5
GPX,20202010,4
GRA,15101050,2
GRBK,25201030,2
GRC,20106020,7
GROW,40203010,4
GRPN,25502020,1
GRUB,45101010,1
GS,40203020,4
GSAT,50101010,4
GSB,45103020,4
GSBC,40101015,1
GSBD,40203010,0
GSIT,45301020,3
GST,10102020,0
GSVC,40203010,0
GT,25101020,6
GTIM,25301040,0
GTLS,20106020,6
GTN,25401020,0
GTS,35102030,3
GTT,45101010,4
GTXI,35201010,0
GTY,60101070,0
GUID,45103010,6
GV,20103010,4
GVA,20103010,6
GVP,45103010,6
GWB,40101015,1
GWGH,40201040,0
GWR,20304010,2
GWRE,45103010,5
GWW,20107010,3
GXP,55101010,0
H,25301020,5
HA,20302010,0
HABT,25301040,0
HAE,35101020,3
HAFC,40101015,1
HAIN,30202030,3
HAL,10101020,4
HALL,40301040,6
HALO,35201010,7
HAS,25202010,3
HASI,40204010,0
HAWK,45102020,1
HAYN,15104050,3
HBAN,40101015,4
HBCP,40102010,1
HBHC,40101015,1
HBI,25203010,2
HBIO,35203010,3
HBMD,40101015,1
HBNC,40101015,1
HBP,20107010,3
HCA,35102020,4
