symbol,gics8,textgics_015
BIOS,35102015,7
BKD,35102020,7
BKS,25504040,7
BLFS,35101020,7
BPI,25302010,7
BTU,10102050,7
BZH,25201030,7
CACC,40202010,7
CAH,35102010,7
CAR,20304020,7
CATM,45102020,7
CBM,35203010,7
CBMX,35203010,7
CBOE,40203040,7
CBS,25401020,7
CCI,60101080,7
CCL,25301020,7
CCO,25401010,7
CCRN,35102015,7
CCS,25201030,7
CDE,15104045,7
CECO,25302010,7
CEMI,35101020,7
CENX,15104010,7
CERS,35101020,7
CF,15101030,7
CGI,20304020,7
CGNT,35101010,7
CHE,35102015,7
CHGG,25302010,7
CHRW,20301010,7
CIDM,25401030,7
CIVI,35102015,7
CLCT,25302020,7
CLD,10102050,7
CLF,15104050,7
CLH,20201050,7
CMCSA,25401025,7
CME,40203040,7
CMLS,25401020,7
CNC,35102030,7
CNK,25401030,7
COO,35101020,7
COOL,45103030,7
CPHC,25301010,7
CPLA,25302010,7
CPRT,20201070,7
CPSS,40202010,7
CQH,10102040,7
CQP,10102040,7
CRCM,45101010,7
CRDS,45202030,7
CRL,35203010,7
CRMT,25504050,7
CRY,35101010,7
