symbol,gics8,hier.text_068
GALE,35201010,9
GALT,35201010,4
GBCI,40101015,44
GBDC,40203010,35
GBL,40203010,21
GBNK,40101015,44
GBR,10102020,19
GBX,20106010,11
GCAP,40203020,48
GCI,25401040,46
GCO,25504010,30
GD,20101010,18
GDDY,45101010,7
GDOT,40202010,7
GE,20105010,26
GEF,15103010,57
GEL,10102040,55
GEN,35102020,36
GENC,20106020,11
GEO,60101080,11
GEOS,10101020,3
GERN,35201010,9
GES,25504010,30
GEVO,10102030,54
GFF,20102010,16
GFN,20107010,22
GGG,20106020,11
GGP,60101070,60
GHDX,35201010,9
GHL,40203020,6
GHM,20106020,11
GIFI,10101020,29
GIGA,45203010,3
GIII,25203010,30
GILD,35201010,4
GIMO,45103020,56
GIS,30202030,34
GLAD,40203010,35
GLDD,20103010,6
GLP,10102040,14
GLPI,60101080,66
GLT,15105020,57
GLUU,45103010,6
GLW,45203015,16
GM,25102010,4
GME,25504020,63
GMED,35101010,2
GMO,15104020,59
GNBC,40101015,28
GNC,25504040,6
GNCA,35201010,9
GNCMA,50101020,31
GNE,55101010,19
GNMK,35101010,20
GNRC,20104010,11
GNTX,25101010,17
GNVC,35201010,4
GNW,40301020,67
GOGO,45101010,3
GOOD,60101010,24
GOOGL,45101010,7
GORO,15104030,59
GOV,60101040,24
GPC,25501010,17
GPI,25504050,17
GPIC,25301010,66
GPK,15103020,57
GPN,45102020,38
GPOR,10102020,19
GPRE,10102030,1
GPRO,25201010,3
GPS,25504010,30
GPT,60101010,24
GPX,20202010,8
GRA,15101050,16
GRBK,25201030,41
GRC,20106020,26
GROW,40203010,21
GRPN,25502020,7
GRUB,45101010,51
GS,40203020,21
GSAT,50101010,31
GSB,45103020,8
GSBC,40101015,44
GSBD,40203010,35
GSIT,45301020,3
GST,10102020,19
GSVC,40203010,35
GT,25101020,11
GTIM,25301040,51
GTLS,20106020,11
GTN,25401020,52
GTS,35102030,15
GTT,45101010,56
GTXI,35201010,9
GTY,60101070,24
GUID,45103010,8
GV,20103010,23
GVA,20103010,23
GVP,45103010,11
GWB,40101015,44
GWGH,40201040,45
GWR,20304010,11
GWRE,45103010,8
GWW,20107010,11
GXP,55101010,27
H,25301020,37
HA,20302010,32
HABT,25301040,51
HAE,35101020,2
HAFC,40101015,44
HAIN,30202030,34
HAL,10101020,29
HALL,40301040,15
HALO,35201010,9
HAS,25202010,6
HASI,40204010,54
HAWK,45102020,7
HAYN,15104050,11
HBAN,40101015,39
HBCP,40102010,44
HBHC,40101015,39
HBI,25203010,30
HBIO,35203010,20
HBMD,40101015,28
HBNC,40101015,28
HBP,20107010,16
HCA,35102020,36
